policy_number,insured_name,location_number,street_address,city,state,zip,latitude,longitude,building_value,contents_value,bi_value,tiv,construction_type,iso_construction_class,occupancy_type,occupancy_code,stories,year_built,sq_footage,protection_class,sprinklers,alarm_type,roof_type,roof_year,annual_premium,deductible,wind_deductible_pct,flood_zone,wildfire_score,distance_to_coast_mi,notes
CPL-2024-00101,Harborview Medical Partners LLC,1,4801 N Armenia Ave,Tampa,FL,33603,27.9701,-82.4827,4250000,1800000,2100000,8150000,Joisted Masonry,2,Medical Office,851,3,1987,22400,4,Y,Central Station,BUR,2019,68420,50000,5,AE,2,1.2,
CPL-2024-00101,Harborview Medical Partners LLC,2,4815 N Armenia Ave,Tampa,FL,33603,27.9699,-82.4826,2100000,650000,800000,3550000,Joisted Masonry,2,Medical Office,851,2,1991,11200,4,Y,Central Station,TPO,2021,29780,50000,5,AE,2,1.2,Secondary building same block
CPL-2024-00101,Harborview Medical Partners LLC,3,4823 N Armenia Ave,Tampa,FL,33603,27.9697,-82.4825,1850000,420000,600000,2870000,Frame,1,Medical Office,851,1,2003,8800,4,N,Local,TPO,2015,24060,50000,5,AE,2,1.2,Annex - no sprinklers flagged
CPL-2024-00102,Suncoast Industrial Properties LP,1,9201 Harney Rd,Tampa,FL,33637,28.0701,-82.3512,6800000,3200000,1400000,11400000,Non-Combustible,3,Warehouse/Distribution,922,1,2001,84000,5,Y,Central Station,Metal,2001,74100,100000,5,X,1,8.4,
CPL-2024-00102,Suncoast Industrial Properties LP,2,9245 Harney Rd,Tampa,FL,33637,28.0698,-82.3509,5200000,2800000,980000,8980000,Non-Combustible,3,Warehouse/Distribution,922,1,2006,66000,5,Y,Central Station,Metal,2006,58370,100000,5,X,1,8.4,
CPL-2024-00103,Bayshore Commons Retail Center LLC,1,2901 W Bay Ave,Tampa,FL,33611,27.9218,-82.4813,3400000,1200000,0,4600000,Joisted Masonry,2,Strip Mall/Retail,746,1,1978,18500,4,N,Local,Built-Up,2011,38640,75000,5,X,3,2.1,Tenant-occupied; contents are tenants own
CPL-2024-00104,Gulf Coast Self Storage Inc,1,6600 Seminole Blvd,Seminole,FL,33772,27.8423,-82.7891,2800000,180000,0,2980000,Non-Combustible,3,Self Storage,496,2,1999,34000,7,N,None,Metal,1999,19370,25000,5,X,3,0.8,No BI - self storage
CPL-2024-00105,Pelican Bay HOA,1,100 Pelican Bay Blvd,Naples,FL,34108,26.2612,-81.8107,12500000,2200000,0,14700000,Fire Resistive,6,Condominium,807,18,2002,210000,3,Y,Central Station,Concrete,2002,132300,250000,5,VE,4,0.3,High-rise coastal condo; VE zone
CPL-2024-00106,Everglades Agriculture Holdings,1,,Hendry County,FL,33440,,,,1200000,0,0,1200000,Frame,1,Agricultural - Barn/Storage,161,1,1968,12000,10,N,None,Metal,1968,5880,10000,,X,1,38.0,PO BOX 1144 LaBelle FL; no street address on SOV
CPL-2024-00201,Angeles Industrial Trust,1,2001 E 57th St,Los Angeles,CA,90058,33.9843,-118.2201,9800000,5400000,3200000,18400000,Non-Combustible,3,Light Manufacturing,334,2,1968,96000,2,Y,Central Station,Built-Up,2014,147200,150000,,X,3,8.2,Pre-1971 - seismic upgrade docs on file
CPL-2024-00201,Angeles Industrial Trust,2,2021 E 57th St,Los Angeles,CA,90058,33.9840,-118.2198,7200000,3800000,2100000,13100000,Non-Combustible,3,Light Manufacturing,334,2,1971,74000,2,Y,Central Station,TPO,2018,104800,150000,,X,3,8.3,
CPL-2024-00202,Westside Office Partners LLC,1,11600 Wilshire Blvd,Los Angeles,CA,90025,34.0484,-118.4681,22000000,4500000,8800000,35300000,Fire Resistive,6,Office,811,12,1989,145000,1,Y,Proprietary,Concrete,2005,282400,500000,,X,5,4.1,Mid-rise class A; built post-Northridge
CPL-2024-00203,Sierra Madre Retail Group,1,2605 E Foothill Blvd,Pasadena,CA,91107,34.1371,-118.0824,4800000,2100000,1900000,8800000,Masonry Non-Combustible,4,Strip Mall/Retail,746,1,1963,24000,3,Y,Central Station,BUR,2009,73920,100000,,X,8,28.4,WUI exposure - Verisk wildfire score 8
CPL-2024-00203,Sierra Madre Retail Group,2,2640 E Foothill Blvd,Pasadena,CA,91107,34.1369,-118.0819,3200000,1400000,1200000,5800000,Frame,1,Strip Mall/Retail,746,1,1955,16000,3,N,Local,BUR,2007,48720,100000,,X,9,28.5,Older wood frame - WUI high wildfire score 9
CPL-2024-00204,Oakland Warehouse Fund II LP,1,2800 Adeline St,Oakland,CA,94608,37.8242,-122.2832,5600000,4200000,1800000,11600000,Joisted Masonry,2,Warehouse/Distribution,922,3,1924,58000,3,N,Central Station,Built-Up,2016,97440,150000,,X,2,10.3,URM - unreinforced masonry; pre-1940 seismic concern
CPL-2024-00205,Bay Area Tech Campus LLC,1,510 Oracle Pkwy,Redwood City,CA,94065,37.5213,-122.2524,18500000,12000000,14000000,44500000,Fire Resistive,6,Office/Tech Campus,811,4,2008,220000,1,Y,Central Station,TPO,2008,356000,500000,,X,4,1.8,
CPL-2024-00301,DFW Commerce Center LP,1,2201 W Airport Fwy,Irving,TX,75062,32.8561,-97.0121,7800000,4200000,2800000,14800000,Non-Combustible,3,Warehouse/Distribution,922,1,2015,104000,4,Y,Central Station,Metal,2015,103600,100000,2,,1,15.2,
CPL-2024-00301,DFW Commerce Center LP,2,2251 W Airport Fwy,Irving,TX,75062,32.8558,-97.0117,6200000,3400000,2100000,11700000,Non-Combustible,3,Warehouse/Distribution,922,1,2017,82000,4,Y,Central Station,Metal,2017,81900,100000,2,,1,15.3,
CPL-2024-00302,Lone Star Hotel Properties LLC,1,400 N Olive St,Dallas,TX,75201,32.7840,-96.8005,31000000,8500000,14500000,54000000,Fire Resistive,6,Hotel,443,21,2004,380000,1,Y,Proprietary,Concrete,2004,432000,1000000,2,,1,22.1,Downtown high-rise hotel; large BI exposure
CPL-2024-00303,Mesquite Retail Holdings,1,18901 LBJ Fwy,Mesquite,TX,75150,32.7643,-96.6231,3800000,1900000,1400000,7100000,Joisted Masonry,2,Strip Mall/Retail,746,1,1984,21000,4,N,Local,BUR,2016,59640,75000,2,,1,28.7,
CPL-2024-00304,Panhandle Grain Cooperative,1,1 Elevator Rd,Pampa,TX,79065,35.5362,-100.9612,4200000,800000,1200000,6200000,Non-Combustible,3,Grain Elevator,611,6,1952,8400,9,N,None,Metal,1952,31000,50000,,,1,320.0,Grain elevator - special occupancy; explosion risk
CPL-2024-00401,River North Properties LLC,1,340 W Huron St,Chicago,IL,60654,41.8941,-87.6360,14500000,3800000,6200000,24500000,Fire Resistive,6,Mixed Use - Retail/Residential,810,8,1998,120000,1,Y,Central Station,Membrane,2017,196000,250000,,,1,71.2,
CPL-2024-00401,River North Properties LLC,2,350 W Huron St,Chicago,IL,60654,41.8940,-87.6358,9800000,2100000,3800000,15700000,Fire Resistive,6,Office,811,6,2001,88000,1,Y,Central Station,Membrane,2019,125600,250000,,,1,71.3,
CPL-2024-00402,South Side Industrial LLC,1,3500 S Ashland Ave,Chicago,IL,60608,41.8326,-87.6647,4100000,2800000,900000,7800000,Masonry Non-Combustible,4,Light Manufacturing,334,3,1938,44000,3,Y,Central Station,Built-Up,2012,65520,100000,,,1,72.1,
CPL-2024-00403,O'Hare Airport Commerce Park,1,10201 W Higgins Rd,Rosemont,IL,60018,41.9837,-87.8646,8900000,5200000,4100000,18200000,Non-Combustible,3,Warehouse/Distribution,922,1,2009,118000,2,Y,Central Station,Metal,2009,127400,150000,,,1,62.8,
CPL-2024-00501,Hudson Yards Office LLC,1,501 W 30th St,New York,NY,10001,40.7561,-74.0022,85000000,12000000,42000000,139000000,Fire Resistive,6,Office,811,32,2019,620000,1,Y,Proprietary,Membrane,2019,1112000,2500000,,,1,1.4,High-value NYC tower; terrorism exposure (TRIA)
CPL-2024-00502,Brooklyn Warehouse Partners,1,280 Richards St,Brooklyn,NY,11231,40.6773,-74.0049,5800000,3200000,1600000,10600000,Joisted Masonry,2,Warehouse/Distribution,922,4,1912,52000,3,N,Central Station,Built-Up,2008,89040,150000,,,1,0.6,Old masonry warehouse converted to loft; coastal/storm surge
CPL-2024-00503,Bronx Industrial Estate LLC,1,700 Zerega Ave,Bronx,NY,10473,40.8253,-73.8511,6200000,4800000,2200000,13200000,Non-Combustible,3,Light Manufacturing,334,2,1972,74000,4,Y,Central Station,Built-Up,2013,110880,150000,,,1,5.1,
CPL-2024-00504,Long Island Self Storage,1,2245 New Hyde Park Rd,New Hyde Park,NY,11040,40.7284,-73.6919,3200000,240000,0,3440000,Non-Combustible,3,Self Storage,496,3,1997,38000,5,N,Local,Metal,1997,20640,25000,,,1,12.3,
CPL-2024-00601,Denver Tech Center Plaza,1,5445 DTC Pkwy,Greenwood Village,CO,80111,39.5972,-104.8934,16200000,5800000,9400000,31400000,Fire Resistive,6,Office,811,10,1997,168000,2,Y,Central Station,Membrane,2018,251200,250000,,,3,998.0,Hail-prone; roof age and material key
CPL-2024-00601,Denver Tech Center Plaza,2,5475 DTC Pkwy,Greenwood Village,CO,80111,39.5969,-104.8931,8400000,2200000,3600000,14200000,Fire Resistive,6,Office,811,6,2003,96000,2,Y,Central Station,Membrane,2021,113600,250000,,,3,998.0,
CPL-2024-00602,Colorado Springs Retail Center,1,3610 Austin Bluffs Pkwy,Colorado Springs,CO,80918,38.9103,-104.7768,4200000,2100000,1800000,8100000,Joisted Masonry,2,Strip Mall/Retail,746,1,2001,22000,4,Y,Central Station,TPO,2020,68040,75000,,,2,998.0,
CPL-2024-00701,Peachtree Commerce Park LLC,1,6000 Peachtree Rd NE,Atlanta,GA,30341,33.8862,-84.3341,7800000,3400000,2800000,14000000,Non-Combustible,3,Warehouse/Distribution,922,1,2012,94000,5,Y,Central Station,Metal,2012,98000,100000,,,1,195.0,
CPL-2024-00701,Peachtree Commerce Park LLC,2,6040 Peachtree Rd NE,Atlanta,GA,30341,33.8859,-84.3338,5400000,2600000,1900000,9900000,Non-Combustible,3,Light Manufacturing,334,1,2016,68000,5,Y,Central Station,Metal,2016,69300,100000,,,1,195.1,
CPL-2024-00702,Buckhead Office Partners,1,3344 Peachtree Rd NE,Atlanta,GA,30326,33.8485,-84.3627,19500000,4200000,11000000,34700000,Fire Resistive,6,Office,811,15,2007,192000,1,Y,Proprietary,Membrane,2020,277600,500000,,,1,196.2,Class A high-rise Buckhead
CPL-2024-00801,Scottsdale Fashion Center LLC,1,7014 E Camelback Rd,Scottsdale,AZ,85251,33.5000,-111.9277,28000000,16000000,12000000,56000000,Fire Resistive,6,Regional Mall,762,2,1986,380000,1,Y,Central Station,BUR,2015,448000,1000000,,,1,360.0,Large regional mall; inland AZ - hail and monsoon
CPL-2024-00802,Phoenix Logistics Park,1,4815 S 40th St,Phoenix,AZ,85040,33.3901,-111.9927,9800000,6200000,3200000,19200000,Non-Combustible,3,Warehouse/Distribution,922,1,2019,140000,3,Y,Central Station,Metal,2019,134400,150000,,,1,361.0,New tilt-up construction
CPL-2024-00901,Pacific Northwest Timber Co,1,1800 Marine Dr,Bellingham,WA,98225,48.7631,-122.4957,6400000,3800000,2200000,12400000,Non-Combustible,3,Wood Products/Sawmill,421,2,1978,74000,6,N,Local,Metal,1978,74400,100000,,,1,0.4,Timber occupancy - combustible contents adjust
CPL-2024-00901,Pacific Northwest Timber Co,2,1850 Marine Dr,Bellingham,WA,98225,48.7628,-122.4953,2800000,1400000,800000,5000000,Frame,1,Wood Products/Sawmill,421,1,1965,18000,6,N,Local,Metal,1965,30000,100000,,,1,0.4,Older frame mill building - high risk
CPL-2024-01001,Music Row Studio Complex,1,1 Music Circle S,Nashville,TN,37203,36.1479,-86.7984,5200000,3800000,2400000,11400000,Joisted Masonry,2,Mixed Use - Office/Studio,810,3,1968,32000,3,Y,Central Station,BUR,2018,95760,100000,,,1,380.0,
CPL-2024-01002,Opryland Hospitality LLC,1,2800 Opryland Dr,Nashville,TN,37214,36.2013,-86.6920,48000000,14000000,28000000,90000000,Fire Resistive,6,Hotel/Convention Center,443,9,1996,520000,2,Y,Proprietary,Membrane,2018,720000,2500000,,,1,382.0,Large convention hotel - complex BI; Cumberland River flood exposure
CPL-2024-01101,Raleigh Research Triangle Park,1,3021 Cornwallis Rd,Durham,NC,27709,35.9003,-78.8527,11200000,8600000,6800000,26600000,Fire Resistive,6,Office/R&D,811,3,2001,140000,2,Y,Central Station,TPO,2014,212800,250000,,,1,168.0,
CPL-2024-01201,Port of New Orleans Warehouse,1,900 Port of New Orleans Pl,New Orleans,LA,70130,29.9430,-90.0594,7800000,5200000,1800000,14800000,Non-Combustible,3,Warehouse/Distribution,922,3,1962,82000,4,N,Central Station,Built-Up,2018,88800,150000,5,AE,2,0.8,Post-Katrina retro - no sprinklers; flood zone AE critical
CPL-2024-01201,Port of New Orleans Warehouse,2,920 Port of New Orleans Pl,New Orleans,LA,70130,29.9427,-90.0591,4600000,2800000,900000,8300000,Non-Combustible,3,Warehouse/Distribution,922,2,1978,44000,4,N,Local,Built-Up,2012,49800,150000,5,AE,2,0.8,
CPL-2024-01301,Miami Design District LLC,1,140 NE 39th St,Miami,FL,33137,25.8114,-80.1928,18500000,12000000,8000000,38500000,Fire Resistive,6,Mixed Use - Retail/Office,810,5,2016,120000,2,Y,Central Station,Membrane,2016,308000,500000,5,X,5,3.2,Hurricane Ian analog; design district retail
CPL-2024-01302,South Beach Hotel Partners,1,1500 Collins Ave,Miami Beach,FL,33139,25.7879,-80.1318,24000000,6000000,18000000,48000000,Masonry Non-Combustible,4,Hotel,443,8,1951,180000,2,Y,Central Station,BUR,2020,432000,1000000,5,VE,6,0.1,Art deco hotel; VE zone beach front; wind and storm surge key
CPL-2024-01401,Albuquerque Commerce Center,1,4600 Alameda Blvd NE,Albuquerque,NM,87113,35.1907,-106.5567,5400000,2800000,1800000,10000000,Non-Combustible,3,Warehouse/Distribution,922,1,2008,72000,5,Y,Central Station,Metal,2008,60000,100000,,,1,621.0,
CPL-2024-01501,Kansas City Crossroads LLC,1,1600 Grand Blvd,Kansas City,MO,64108,39.0794,-94.5762,8200000,3400000,4200000,15800000,Masonry Non-Combustible,4,Mixed Use - Retail/Office,810,4,1922,64000,3,Y,Central Station,Built-Up,2015,126400,150000,,,1,1099.0,Historic masonry - renovation credit applied
CPL-2024-01601,Portland Pearl District LLC,1,1400 NW Irving St,Portland,OR,97209,45.5263,-122.6874,12800000,4200000,6800000,23800000,Fire Resistive,6,Mixed Use - Retail/Residential,810,7,2010,112000,2,Y,Central Station,Membrane,2020,190400,250000,,,1,62.4,Seismic zone - Cascadia subduction zone concern
CPL-2024-01701,San Antonio Medical Center,1,7703 Floyd Curl Dr,San Antonio,TX,78229,29.5083,-98.5642,32000000,14000000,18000000,64000000,Fire Resistive,6,Hospital,642,8,2003,380000,1,Y,Proprietary,Membrane,2019,640000,1000000,2,,1,140.2,Large acute care hospital; critical BI exposure
CPL-2024-01801,Las Vegas Strip Mixed Use,1,3700 S Las Vegas Blvd,Las Vegas,NV,89109,36.1147,-115.1728,95000000,28000000,68000000,191000000,Fire Resistive,6,Hotel/Casino,441,28,2009,820000,1,Y,Proprietary,Membrane,2021,1910000,5000000,,,1,289.0,Highest TIV in portfolio; gaming occupancy; BI dominant
CPL-2024-01901,Savannah Port Industrial,1,1 Port Terminal Blvd,Garden City,GA,31408,32.1219,-81.1977,8400000,6200000,3400000,18000000,Non-Combustible,3,Warehouse/Distribution,922,1,2014,124000,3,Y,Central Station,Metal,2014,126000,150000,,,1,16.8,Port-adjacent logistics; Hurricane exposure
CPL-2024-02001,Various - Miscellaneous Floater,1,Various,Various,TX,,,,2800000,1400000,0,4200000,Frame,1,Miscellaneous,999,1,,,5,N,None,Various,,25200,10000,,,1,,Blanket policy - locations not individually scheduled; data quality issue
CPL-2024-02101,Minneapolis Cold Storage LLC,1,800 Kasota Ave SE,Minneapolis,MN,55414,44.9856,-93.2292,7200000,3800000,2800000,13800000,Non-Combustible,3,Cold Storage/Refrigerated,484,2,1988,64000,3,Y,Central Station,Metal,2018,96600,150000,,,1,1208.0,Ammonia refrigerant - special hazard
CPL-2024-02201,Hartford Insurance Campus,1,One Hartford Plaza,Hartford,CT,06155,41.7637,-72.6710,28000000,9000000,14000000,51000000,Fire Resistive,6,Office,811,18,1976,280000,2,Y,Central Station,Membrane,2017,408000,1000000,,,1,87.4,
CPL-2024-02301,Rust Belt Redevelopment LLC,1,1 Steelworkers Plaza,Pittsburgh,PA,15219,40.4406,-79.9891,9200000,3600000,5400000,18200000,Masonry Non-Combustible,4,Mixed Use - Office/Retail,810,6,1931,98000,3,Y,Central Station,Built-Up,2019,145600,250000,,,1,295.0,Former steel mill adaptive reuse
CPL-2024-02401,San Francisco Financial District,1,345 California St,San Francisco,CA,94104,37.7932,-122.3994,42000000,8000000,22000000,72000000,Fire Resistive,6,Office,811,22,1969,320000,1,Y,Proprietary,Membrane,2016,576000,1000000,,X,4,0.8,High seismic risk; Loma Prieta proximity; TRIA eligible
CPL-2024-02402,Mission Bay Life Sciences,1,250 Oyster Point Blvd,South San Francisco,CA,94080,37.6627,-122.3843,26000000,18000000,15000000,59000000,Fire Resistive,6,Life Sciences/Lab,311,4,2018,160000,1,Y,Central Station,Membrane,2018,590000,750000,,X,6,0.4,High-value biotech lab; contents-heavy; Bay liquefaction zone
CPL-2024-02501,Houston Energy Corridor LLC,1,16800 Westchase Dr,Houston,TX,77042,29.7454,-95.5741,18500000,6800000,11200000,36500000,Fire Resistive,6,Office,811,12,1999,210000,2,Y,Central Station,Membrane,2020,292000,500000,2,,1,32.6,Energy sector office; Harvey flood experience; not in mapped floodplain but flooded 2017
CPL-2024-02501,Houston Energy Corridor LLC,2,16850 Westchase Dr,Houston,TX,77042,29.7451,-95.5738,9200000,3400000,5600000,18200000,Fire Resistive,6,Office,811,8,2004,128000,2,Y,Central Station,Membrane,2018,145600,500000,2,,1,32.7,Harvey loss history - underwriting note required
